Date,BAJFINANCE.NS_QTY,BAJFINANCE.NS_Rate,BAJFINANCE.NS_Value,DMART.NS_QTY,DMART.NS_Rate,DMART.NS_Value,MARUTI.NS_QTY,MARUTI.NS_Rate,MARUTI.NS_Value,RELIANCE.NS_QTY,RELIANCE.NS_Rate,RELIANCE.NS_Value,TECHM.NS_QTY,TECHM.NS_Rate,TECHM.NS_Value
2023-10-04,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-10-05,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-10-06,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-10-09,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-10-10,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-10-11,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-10-12,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-10-13,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-10-16,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-10-17,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-10-18,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-10-19,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-10-20,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-10-23,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-10-25,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-10-26,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-10-27,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-10-30,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
2023-10-31,,-6848.3,,,-3784.3,,,-10655.45,,,-2915.4,,,-2512.95,
